id,nombre,sexo_predominante,edad_min,edad_max,incidencia_cat,prevalencia_cat,sintomas_text
a1,Patologia_1,ambos,45,55,muy_baja,baja,"asociada generalmente a aftas mayores., pruriginosos que afectan la dermis superficial, frecuentemente asociada a cuerpos extraños laríngeos., por obstrucción incompleta laríngea o traqueal., tumefacción profunda, inflamación de ganglios linfáticos regionales"
a2,Patologia_2,ambos,65,80,muy_baja,baja,"incapacidad para ganar peso de forma adecuada (failure to thrive) debido al alto gasto calórico respiratorio., anillo periférico de color rojo intenso que rodea la lesión (reflejo inflamatorio)., dificultad respiratoria subjetiva, hundimiento visible del tórax (supraesternal, necrosis hepática masiva aguda, reducción unilateral de la entrada de aire detectada mediante auscultación."
a3,Patologia_3,masculino,65,90,muy_baja,baja,"enrojecimiento intenso de la membrana timpánica debido a la inflamación vascular., alteración fonatoria secundaria al estrechamiento de la vía aérea., dolor a la palpación suave en las regiones submentales o del cuello., solución de continuidad de la mucosa"
a4,Patologia_4,ambos,75,85,baja,baja,"deformidad angular cifótica visible en la espalda secundaria al colapso vertebral anterior., ganglios linfáticos anteriores del cuello agrandados, sonido respiratorio agudo, a menudo unilaterales en casos bronquiales., limitación dolorosa de la movilidad cervical (asociada a espasmo muscular)."
a5,Patologia_5,masculino,12,32,baja,baja,"submental., dejar cicatriz., intercostal o subcostal) por el esfuerzo inspiratorio., solución de continuidad de la mucosa, carencia de reflejo tusígeno"
a6,Patologia_6,femenino,12,22,baja,media,"inflamación, presentes en >30% de casos cervicales., mucosas en estadios avanzados por hipoxemia crítica., hallazgo endoscópico de tejido fibrótico o cartilaginoso que estrecha la vía aérea., de varias semanas de evolución., hinchazón difusa que involucra el suelo de la boca, elevación térmica que puede ser sutil o de bajo grado., hav (<0.5%) pero riesgo elevado (15-25%) en embarazadas con hev."
a7,Patologia_7,masculino,5,15,media,baja,"elevación térmica que puede ser de bajo grado en el pródromo, rodillas al flexionar pasivamente el cuello., progresivo., dolor localizado en la región posterior del cuello, la región submandibular, disfunción miocárdica severa que se presenta como complicación sistémica de la toxina diftérica."
a8,Patologia_8,femenino,35,60,baja,baja,"ganglios linfáticos anteriores del cuello agrandados, elevación de la temperatura corporal, mucosas asociada a episodios de obstrucción severa e hipoxemia., elevación térmica que puede ser de bajo grado en el pródromo, generalmente inspiratorio, pausas en el flujo respiratorio debido al colapso total temporal de la vía aérea superior., especialmente frecuente en lactantes, signos de sufrimiento medular (debilidad"
a9,Patologia_9,masculino,12,27,muy_baja,baja,"compromiso ventilatorio potencial debido al estrechamiento de las vías aéreas., presente en el 30% de casos agudos de hbv, expulsión forzada de contenido gástrico, flexión involuntaria de caderas, manifestaciones gastrointestinales secundarias a la afectación de la mucosa del tracto digestivo., inflamación"
a10,Patologia_10,ambos,55,75,media,muy_baja,"especialmente frecuente en lactantes, (implícito en ""laryngeal diphtheria"") manifestación clínica de la afectación laríngea que requiere intervención operativa., aumento de la frecuencia cardíaca (ritmo sinusal) registrado en la admisión., parestesias), inflamación, nota importante: ausente en aproximadamente el 50% de los casos., supraclavicular visible debido al aumento del trabajo respiratorio."
a11,Patologia_11,femenino,35,50,alta,baja,"necróticas que pueden persistir semanas, alteración en el control vesical o intestinal secundaria a compresión medular severa., dolor dorsolumbar focal de inicio gradual, letargo o disminución del nivel de conciencia., del reflejo luminoso normal de la membrana timpánica., síntoma constitucional común en fases prodrómicas, sonido respiratorio ruidoso presente tanto en la inspiración como en la espiración por obstrucción fija., salivación excesiva o babeo por incapacidad de deglutir debido al edema orofaríngeo."
